File,Chip mass (kg),Fill height (m),Fill volume (cm^3),Bulk density (g/L)
Compactness_Run_0.95_1.fbx,0.10203940988867544,0.1259196251630783,2752.970647125053,37.065200820515805
Compactness_Run_0.95_10.fbx,0.09710995371278841,0.1013631671667099,2180.598719620216,44.53361952340391
Compactness_Run_0.95_2.fbx,0.11065071693155915,0.11994302272796631,2612.041372858233,42.361778064211634
Compactness_Run_0.95_3.fbx,0.09410552329791244,0.10411393642425537,2243.8403353029757,41.93949177992907
Compactness_Run_0.95_4.fbx,0.10698883043369278,0.1133393794298172,2457.5445095077916,43.53484952959041
Compactness_Run_0.95_5.fbx,0.11146159522468224,0.134687140583992,2961.61401212252,37.63542270142094
Compactness_Run_0.95_6.fbx,0.10431548631459009,0.10803116858005524,2334.2788976147413,44.68852733115301
Compactness_Run_0.95_7.fbx,0.10355693170276936,0.13041022419929504,2859.551385205851,36.214397908193064
Compactness_Run_0.95_8.fbx,0.10395925248303683,0.11737285554409027,2551.758773180124,40.74023515689841
Compactness_Run_0.95_9.fbx,0.1018413201381918,0.11531868577003479,2503.7178542414204,40.67603702456634
Compactness_Run_0.9_1.fbx,0.09575641695118975,0.10249274969100952,2206.541843658969,43.39660144056137
Compactness_Run_0.9_10.fbx,0.10895987987169065,0.11931605637073517,2597.318186049061,41.95091708707287
Compactness_Run_0.9_2.fbx,0.08619717350666178,0.0865483433008194,1843.7606489090062,46.75073934226037
Compactness_Run_0.9_3.fbx,0.09507100051268935,0.09751515090465546,2092.49879653177,45.4341960292955
Compactness_Run_0.9_4.fbx,0.0871887368557509,0.0909268707036972,1942.6544514990255,44.88123803410986
Compactness_Run_0.9_5.fbx,0.10099534576875158,0.10793408751487732,2332.032158062085,43.30787009930367
Compactness_Run_0.9_6.fbx,0.0957153093040688,0.1073773205280304,2319.1522410313332,41.271680060772525
Compactness_Run_0.9_7.fbx,0.09913846730341902,0.09595003724098206,2056.78824903565,48.200619266422436
Compactness_Run_0.9_8.fbx,0.09808913050073897,0.09712739288806915,2083.644884623044,47.07574271634317
Compactness_Run_0.9_9.fbx,0.10478001814044546,0.11202132701873779,2426.860406548173,43.17513189375344
ConvexHull_Run_0.75_1.fbx,0.08519014550256543,0.09513072669506073,2038.1226056394787,41.798341898983196
ConvexHull_Run_0.75_10.fbx,0.08381179487332702,0.07777777314186096,1647.3222192950238,50.877596314578035
ConvexHull_Run_0.75_2.fbx,0.08386829982919153,0.08307653665542603,1765.7375547221607,47.49760212376988
ConvexHull_Run_0.75_3.fbx,0.07737107697175816,0.0754266232252121,1595.0363404136224,48.50740701725605
ConvexHull_Run_0.75_4.fbx,0.07813430680835154,0.076565682888031,1620.3475379555912,48.22070881592129
ConvexHull_Run_0.75_5.fbx,0.08337196512729861,0.07786332070827484,1649.2276377741282,50.55212707920731
ConvexHull_Run_0.75_6.fbx,0.07430328316695523,0.07028214633464813,1481.1807127842208,50.16490055915261
ConvexHull_Run_0.75_7.fbx,0.07022883649915457,0.07001043856143951,1475.1883126180292,47.60669258185679
ConvexHull_Run_0.75_8.fbx,0.07816841488238424,0.0808691531419754,1716.3099320780018,45.54446339871888
ConvexHull_Run_0.75_9.fbx,0.08706060139229521,0.09532292187213898,2042.499481554528,42.62454026477116
ConvexHull_Run_0.85_1.fbx,0.08014074791572057,0.07594092190265656,1606.4600575774487,49.88654871168929
ConvexHull_Run_0.85_10.fbx,0.08715722631313838,0.07672108709812164,1623.8036653415963,53.674731849310916
ConvexHull_Run_0.85_2.fbx,0.09099775392678566,0.09874069690704346,2120.511019514404,42.913124755948736
ConvexHull_Run_0.85_3.fbx,0.07610927293717396,0.07794789969921112,1651.111688445998,46.09577502828224
ConvexHull_Run_0.85_4.fbx,0.09343027732393239,0.10903577506542206,2357.5445404827524,39.63033390020311
ConvexHull_Run_0.85_5.fbx,0.0887936303333845,0.09044940769672394,1931.84363752174,45.96315592461362
ConvexHull_Run_0.85_6.fbx,0.07818540290463716,0.0862559974193573,1837.1773239958861,42.55735245772728
ConvexHull_Run_0.85_7.fbx,0.08145947358570993,0.06985054910182953,1471.6629986012101,55.35198864355204
ConvexHull_Run_0.85_8.fbx,0.09330581144604366,0.1040475070476532,2242.3105017238936,41.611458972479475
ConvexHull_Run_0.85_9.fbx,0.07968162548786495,0.07874482870101929,1668.87382102711,47.745745953894115
ConvexHull_Run_0.8_1.fbx,0.06689748569624498,0.06155131757259369,1289.6734492525622,51.87164683820995
ConvexHull_Run_0.8_10.fbx,0.0860898253013147,0.08559389412403107,1822.276518875028,47.24300862662807
ConvexHull_Run_0.8_2.fbx,0.08508285484276712,0.09310320019721985,1992.0145376819137,42.711964814161014
ConvexHull_Run_0.8_3.fbx,0.08455258166941348,0.08812904357910156,1879.3988990223256,44.989162073787654
ConvexHull_Run_0.8_4.fbx,0.08597778048715554,0.10176949203014374,2189.926522460089,39.26057774329845
ConvexHull_Run_0.8_5.fbx,0.08622319060668815,0.09683294594287872,2076.9245044013205,41.514841018037984
ConvexHull_Run_0.8_6.fbx,0.08328849513782188,0.08505387604236603,1810.13258903489,46.01237259764981
ConvexHull_Run_0.8_7.fbx,0.08938989304442657,0.09723126888275146,2086.016321325961,42.85196243699883
ConvexHull_Run_0.8_8.fbx,0.08452739466156345,0.08490434288978577,1806.7713659122523,46.783669619916154
ConvexHull_Run_0.8_9.fbx,0.08708377655420918,0.09453032910823822,2024.4565740119172,43.01587777782412
ConvexHull_Run_0.95_1.fbx,0.09117784575209953,0.09665277600288391,2072.8135886814966,43.98747974732121
ConvexHull_Run_0.95_10.fbx,0.09312582889106125,0.09801265597343445,2103.8649973620595,44.26416571777537
ConvexHull_Run_0.95_2.fbx,0.10161026148125529,0.11025550961494446,2385.83184432328,42.58902894729202
ConvexHull_Run_0.95_3.fbx,0.0949776846828172,0.1087382584810257,2350.6513021359447,40.40483784069322
ConvexHull_Run_0.95_4.fbx,0.09283756600052584,0.10158881545066833,2185.7782268206715,42.473460876020766
ConvexHull_Run_0.95_5.fbx,0.09610638463345822,0.11071355640888214,2396.465772824533,40.103382958056976
ConvexHull_Run_0.95_6.fbx,0.09069537471805234,0.09007295966148376,1923.3246523665462,47.15552031554144
ConvexHull_Run_0.95_7.fbx,0.09013775483617792,0.10346689820289612,2228.944839637945,40.43965253569007
ConvexHull_Run_0.95_8.fbx,0.0905411027779337,0.09831918776035309,2110.871710552447,42.89275483929705
ConvexHull_Run_0.95_9.fbx,0.09946359242894687,0.10564115643501282,2279.0467588183647,43.64262911416374
ConvexHull_Run_0.9_1.fbx,0.08710828798939474,0.10446596145629883,2251.9494255316745,38.68128076136918
ConvexHull_Run_0.9_10.fbx,0.09394255985534983,0.10954807698726654,2369.4202385313556,39.6479097830187
ConvexHull_Run_0.9_2.fbx,0.08003353339154273,0.08063270151615143,1711.0235898477297,46.775236686634585
ConvexHull_Run_0.9_3.fbx,0.09612265051691793,0.09216758608818054,1970.7776811938647,48.77396950156672
ConvexHull_Run_0.9_4.fbx,0.08748821790504735,0.09277190268039703,1984.4917587810332,44.08595677856917
ConvexHull_Run_0.9_5.fbx,0.09789437352446839,0.09893015027046204,2124.8452208128156,46.071296189291814
ConvexHull_Run_0.9_6.fbx,0.09459033356688451,0.10600115358829498,2287.355508507814,41.35357762055612
ConvexHull_Run_0.9_7.fbx,0.09331562198349275,0.10430029034614563,2248.132652054713,41.50805865401474
ConvexHull_Run_0.9_8.fbx,0.09324692303925985,0.10054342448711395,2161.7948513973834,43.134029567599846
ConvexHull_Run_0.9_9.fbx,0.09420559386489913,0.10612252354621887,2290.1575816043464,41.13498329617317
ProjArea_Run_0.75_1.fbx,0.07873667869716883,0.06839744746685028,1439.6576547979798,54.69125137824351
ProjArea_Run_0.75_10.fbx,0.08336979243904352,0.08683726191520691,1850.269206797066,45.05819592780336
ProjArea_Run_0.75_2.fbx,0.0777482842313475,0.08185224235057831,1738.3059853132422,44.7264663921279
ProjArea_Run_0.75_3.fbx,0.07856404417543672,0.08075271546840668,1713.706538426485,45.84451445670141
ProjArea_Run_0.75_4.fbx,0.08376580008189194,0.08809828758239746,1878.7047936079555,44.586994384053305
ProjArea_Run_0.75_5.fbx,0.07917801136500202,0.08517813682556152,1812.9262250387421,43.67414970971033
ProjArea_Run_0.75_6.fbx,0.08049253150238656,0.08072653412818909,1713.1212114205662,46.98589391444169
ProjArea_Run_0.75_7.fbx,0.08145849940774497,0.08278985321521759,1759.3102683070392,46.301383488275434
ProjArea_Run_0.75_8.fbx,0.08186597256280947,0.08865252137184143,1891.2169859712812,43.28745626233109
ProjArea_Run_0.75_9.fbx,0.07381236445507966,0.07376399636268616,1558.1572918092963,47.371574643385614
