,osmid_start,x_start,y_start,osmid_end,x_end,y_end,Time
7112,66452245,-71.123088,42.409608,66432605,-71.0823447,42.4057258,17:30
7113,66454905,-71.0942491,42.427937,66465564,-71.0835666,42.4049152,8:30
7114,66454905,-71.0942491,42.427937,66465564,-71.0835666,42.4049152,15:30
7115,66454905,-71.0942491,42.427937,66465564,-71.0835666,42.4049152,17:30
7116,66448154,-71.0914496,42.4404644,66442854,-71.0947596,42.4059475,8:30
7117,66448154,-71.0914496,42.4404644,66442854,-71.0947596,42.4059475,15:30
7118,66448154,-71.0914496,42.4404644,66442854,-71.0947596,42.4059475,17:30
7119,66434417,-71.0950028,42.4058244,66474482,-71.124367,42.411962,8:30
7120,66434417,-71.0950028,42.4058244,66474482,-71.124367,42.411962,15:30
7121,66434417,-71.0950028,42.4058244,66474482,-71.124367,42.411962,17:30
7122,66432078,-71.124367,42.410029,66457024,-71.0913462,42.4316929,8:30
7123,66432078,-71.124367,42.410029,66457024,-71.0913462,42.4316929,15:30
7124,66432078,-71.124367,42.410029,66457024,-71.0913462,42.4316929,17:30
7125,66474562,-71.0750709,42.4047116,66462139,-71.118875,42.411885,8:30
7126,66474562,-71.0750709,42.4047116,66462139,-71.118875,42.411885,15:30
7127,66474562,-71.0750709,42.4047116,66462139,-71.118875,42.411885,17:30
7128,66437578,-71.118759,42.410699,66431878,-71.0790604,42.4042901,8:30
7129,66437578,-71.118759,42.410699,66431878,-71.0790604,42.4042901,15:30
7130,66437578,-71.118759,42.410699,66431878,-71.0790604,42.4042901,17:30
7131,66430911,-71.0930369,42.433254,66459547,-71.121782,42.411549,8:30
7132,66430911,-71.0930369,42.433254,66459547,-71.121782,42.411549,15:30
7133,66430911,-71.0930369,42.433254,66459547,-71.121782,42.411549,17:30
7134,66461265,-71.0921266,42.4282578,66456499,-71.079167,42.411559,8:30
7135,66461265,-71.0921266,42.4282578,66456499,-71.079167,42.411559,15:30
7136,66461265,-71.0921266,42.4282578,66456499,-71.079167,42.411559,17:30
7137,66484632,-71.0930686,42.4407625,66423297,-71.0824246,42.405582,8:30
7138,66484632,-71.0930686,42.4407625,66423297,-71.0824246,42.405582,15:30
7139,66484632,-71.0930686,42.4407625,66423297,-71.0824246,42.405582,17:30
7140,66479782,-71.120223,42.40949,66462174,-71.0939571,42.4392445,8:30
7141,66479782,-71.120223,42.40949,66462174,-71.0939571,42.4392445,15:30
7142,66479782,-71.120223,42.40949,66462174,-71.0939571,42.4392445,17:30
7143,66457713,-71.119392,42.411164,66459982,-71.089862,42.426805,8:30
