,osmid_start,x_start,y_start,start_zone,osmid_end,x_end,y_end,end_zone,Time
1042,66432078,-71.124367,42.410029,0,66462692,-71.0798816,42.4095548,2,15:30
1043,66432078,-71.124367,42.410029,0,66462692,-71.0798816,42.4095548,2,17:30
1044,66487416,-71.091316,42.4337965,1,5458722610,-71.0819095,42.4041114,2,8:30
1045,66487416,-71.091316,42.4337965,1,5458722610,-71.0819095,42.4041114,2,15:30
1046,66487416,-71.091316,42.4337965,1,5458722610,-71.0819095,42.4041114,2,17:30
1047,66427664,-71.120235,42.410581,0,66448358,-71.0923901,42.428058,1,8:30
1048,66427664,-71.120235,42.410581,0,66448358,-71.0923901,42.428058,1,15:30
1049,66427664,-71.120235,42.410581,0,66448358,-71.0923901,42.428058,1,17:30
1050,66422266,-71.081398,42.411447,2,1538930903,-71.0925578,42.4358302,1,8:30
1051,66422266,-71.081398,42.411447,2,1538930903,-71.0925578,42.4358302,1,15:30
1052,66422266,-71.081398,42.411447,2,1538930903,-71.0925578,42.4358302,1,17:30
1053,66453420,-71.12203,42.411153,0,1095874191,-71.0945186,42.4063247,2,8:30
1054,66453420,-71.12203,42.411153,0,1095874191,-71.0945186,42.4063247,2,15:30
1055,66453420,-71.12203,42.411153,0,1095874191,-71.0945186,42.4063247,2,17:30
1056,66462139,-71.118875,42.411885,0,66428836,-71.093243,42.4303988,1,8:30
1057,66462139,-71.118875,42.411885,0,66428836,-71.093243,42.4303988,1,15:30
1058,66462139,-71.118875,42.411885,0,66428836,-71.093243,42.4303988,1,17:30
1059,66458181,-71.0731052,42.4041066,2,66484689,-71.090031,42.427745,1,8:30
1060,66458181,-71.0731052,42.4041066,2,66484689,-71.090031,42.427745,1,15:30
1061,66458181,-71.0731052,42.4041066,2,66484689,-71.090031,42.427745,1,17:30
1062,2259117099,-71.0827998,42.4022522,2,66423133,-71.0942237,42.4282811,1,8:30
1063,2259117099,-71.0827998,42.4022522,2,66423133,-71.0942237,42.4282811,1,15:30
1064,2259117099,-71.0827998,42.4022522,2,66423133,-71.0942237,42.4282811,1,17:30
1065,66435752,-71.122522,42.410456,0,66429422,-71.0928331,42.4392748,1,8:30
1066,66435752,-71.122522,42.410456,0,66429422,-71.0928331,42.4392748,1,15:30
1067,66435752,-71.122522,42.410456,0,66429422,-71.0928331,42.4392748,1,17:30
1068,66465362,-71.0874971,42.4355449,1,66435140,-71.120518,42.408775,0,8:30
1069,66465362,-71.0874971,42.4355449,1,66435140,-71.120518,42.408775,0,15:30
1070,66465362,-71.0874971,42.4355449,1,66435140,-71.120518,42.408775,0,17:30
1071,66484394,-71.0801443,42.4008309,2,66453420,-71.12203,42.411153,0,8:30
1072,66484394,-71.0801443,42.4008309,2,66453420,-71.12203,42.411153,0,15:30
1073,66484394,-71.0801443,42.4008309,2,66453420,-71.12203,42.411153,0,17:30
1074,66460370,-71.0935666,42.4270375,1,66481271,-71.125404,42.410395,0,8:30
1075,66460370,-71.0935666,42.4270375,1,66481271,-71.125404,42.410395,0,15:30
1076,66460370,-71.0935666,42.4270375,1,66481271,-71.125404,42.410395,0,17:30
1077,66435752,-71.122522,42.410456,0,66440587,-71.0914439,42.4272527,1,8:30
1078,66435752,-71.122522,42.410456,0,66440587,-71.0914439,42.4272527,1,15:30
1079,66435752,-71.122522,42.410456,0,66440587,-71.0914439,42.4272527,1,17:30
1080,66437176,-71.0772745,42.4074426,2,66462139,-71.118875,42.411885,0,8:30
1081,66437176,-71.0772745,42.4074426,2,66462139,-71.118875,42.411885,0,15:30
1082,66437176,-71.0772745,42.4074426,2,66462139,-71.118875,42.411885,0,17:30
1083,66448358,-71.0923901,42.428058,1,66487441,-71.0766575,42.4065731,2,8:30
1084,66448358,-71.0923901,42.428058,1,66487441,-71.0766575,42.4065731,2,15:30
1085,66448358,-71.0923901,42.428058,1,66487441,-71.0766575,42.4065731,2,17:30
1086,66443549,-71.122337,42.410717,0,1705088998,-71.0952116,42.4369835,1,8:30
1087,66443549,-71.122337,42.410717,0,1705088998,-71.0952116,42.4369835,1,15:30
1088,66443549,-71.122337,42.410717,0,1705088998,-71.0952116,42.4369835,1,17:30
1089,66474542,-71.0935822,42.4113888,2,66435752,-71.122522,42.410456,0,8:30
1090,66474542,-71.0935822,42.4113888,2,66435752,-71.122522,42.410456,0,15:30
1091,66474542,-71.0935822,42.4113888,2,66435752,-71.122522,42.410456,0,17:30
1092,66448247,-71.0845748,42.4097142,2,66422683,-71.127038,42.410869,0,8:30
1093,66448247,-71.0845748,42.4097142,2,66422683,-71.127038,42.410869,0,15:30
1094,66448247,-71.0845748,42.4097142,2,66422683,-71.127038,42.410869,0,17:30
1095,66473351,-71.095221,42.432548,1,66485914,-71.0920613,42.4110262,2,8:30
1096,66473351,-71.095221,42.432548,1,66485914,-71.0920613,42.4110262,2,15:30
1097,66473351,-71.095221,42.432548,1,66485914,-71.0920613,42.4110262,2,17:30
1098,66463678,-71.120822,42.410936,0,5458722610,-71.0819095,42.4041114,2,8:30
1099,66463678,-71.120822,42.410936,0,5458722610,-71.0819095,42.4041114,2,15:30
1100,66463678,-71.120822,42.410936,0,5458722610,-71.0819095,42.4041114,2,17:30
1101,66479782,-71.120223,42.40949,0,66436423,-71.093548,42.4339287,1,8:30
1102,66479782,-71.120223,42.40949,0,66436423,-71.093548,42.4339287,1,15:30
1103,66479782,-71.120223,42.40949,0,66436423,-71.093548,42.4339287,1,17:30
1104,66457024,-71.0913462,42.4316929,1,66437578,-71.118759,42.410699,0,8:30
1105,66457024,-71.0913462,42.4316929,1,66437578,-71.118759,42.410699,0,15:30
1106,66457024,-71.0913462,42.4316929,1,66437578,-71.118759,42.410699,0,17:30
1107,66463030,-71.0916944,42.427965,1,66438396,-71.0819448,42.402099,2,8:30
1108,66463030,-71.0916944,42.427965,1,66438396,-71.0819448,42.402099,2,15:30
1109,66463030,-71.0916944,42.427965,1,66438396,-71.0819448,42.402099,2,17:30
1110,66462139,-71.118875,42.411885,0,66455391,-71.0946151,42.4376473,1,8:30
1111,66462139,-71.118875,42.411885,0,66455391,-71.0946151,42.4376473,1,15:30
1112,66462139,-71.118875,42.411885,0,66455391,-71.0946151,42.4376473,1,17:30
1113,66437751,-71.0925273,42.4282904,1,66458181,-71.0731052,42.4041066,2,8:30
1114,66437751,-71.0925273,42.4282904,1,66458181,-71.0731052,42.4041066,2,15:30
1115,66437751,-71.0925273,42.4282904,1,66458181,-71.0731052,42.4041066,2,17:30
1116,66456499,-71.079167,42.411559,2,66461265,-71.0921266,42.4282578,1,8:30
1117,66456499,-71.079167,42.411559,2,66461265,-71.0921266,42.4282578,1,15:30
1118,66456499,-71.079167,42.411559,2,66461265,-71.0921266,42.4282578,1,17:30
1119,66454970,-71.0936357,42.4387475,1,66448272,-71.0815652,42.405145,2,8:30
1120,66454970,-71.0936357,42.4387475,1,66448272,-71.0815652,42.405145,2,15:30
